Pallavi Gowda,pallavi_gowda_official
Anju Kurian,anjutk10
Parvati Nair,paro_nair
Rhema Ashok,rhema_ashok
Swetha Subramanian,swetha_subramanian92
Saai Gayathri,saai_gayatri
Nandhini Myna,myna_nandhu
Swetha Changappa,swethachangappa
Pranika Dhakshu,pranikadhakshu
Srindaa,srindaa
Nisha Agarwal,nishaaggarwal
Neepa,neepa_official
Meesha Ghoshal,meesha.ghoshal
Abhirami Suresh,ebbietoot
Anaswara Rajan,anaswara.rajan
Reshma Pasupuleti,reshmapasupuleti
Farina Azad,farina_azad_official
Jacquline Lydia,me_jackline
Kamana,kamana10
Jeevitha,jeevithaartist
Nancy Jennifer,makeoverbyjennifer
Reshma Muralidharan,reshma_muralidaran_official
Vijayalakshmi,itsvg
Krishi,krishithapanda
Siri Hanmanth,sirihanmanth
Himani,himanisharma
Tridha,tridhac
Shristhi,srishtimiglani_official
Aarya ,aaryavora
Deeksha Khurana,deekshakhurana
Isha,ishaanandsharmaofficial
Shradha,shraddhadas43
Chaithra P,chaithrarao_cr
Priyanka Shivanna,priyanka17_official
Ranjani Raghavan,ranjani.raghavan
Tejaswini Shekar,tejaswini_shekarrrr
Chaitra Vasudevan,chaitra_vasudevan_official_
Swetha,swethachangappa
Anushree,anchor_anushreeofficial
Shambhavi,sonusrinivas.gowda54
Ashvithi,ashvithi_shetty
Kavitha Gowda,iam.kavitha_official
Rohini,actressrohini
Aishwariya,aishwaryarajactress_
Shiva Jyothi Savithri,iam.savithri
Deepthi Reddy,deepthi_sunaina
Ashmita Karnani,ashmita_9
Shanoor Sana Begum,shanoor_sana
Sameera Sherief,sameerasherief
Jahnavi,galij_pilla
Naveena,naveenayataofficial
Rithu Chowdary,rithu_chowdhary
Lahari,lahari_actress
Rohini,actressrohini
Sindhura,sindhura_dharmasanam
Anusha,anushaprathap_official
Anchor Shilpa,tvshilpa
Punaravi,punarnavibhupalum
Bhanu Shree,iam_bhanusri
Karishma Aruhi,aruhi3115
Kristen Ravali,kristenravali.official
Bhavana Lasya,__lasya.__
Snigdha Polapragada,snigdhapv
M Balabhargavi,bhanuu_1006
Esha,esha_manohari_priya
Rohini,actressrohini
Mounika,mounika_nayak_04
Chandu,chandu_candy13
Smruthi Venkat,smruthivenkatofficial
Soundarya Bala Nandakumar,soundarya_offl
Hari,haripriyaisai
Nakshatra,nakshathra.nagesh
Jackline,me_jackline